id,number,title,body,agent,user_id,user,state,created_at,closed_at,merged_at,repo_id,repo_url,html_url,llm_output,_label
3259387186,4471,Fix Gradle build failures due to Maven Central rate limiting (HTTP 429),"## Problem

CI jobs were failing due to Maven Central rate limiting with HTTP 429 errors:

```
Could not GET 'https://repo.maven.apache.org/maven2/com/google/code/gson/gson/2.10.1/gson-2.10.1.pom'. 
Received status code 429 from server: Your IP: 20.55.222.81 has hit the rate limit with Maven Central. 
Too many requests.
```

This occurred because Gradle dependencies were being downloaded repeatedly in each CI run without proper caching.

## Solution

Added comprehensive Gradle dependency caching to all Java-related CI workflows:

### 1. Gradle Dependency Caching
- **java.yml**: Added `~/.gradle/caches` and `~/.gradle/wrapper` caching to all Java build jobs
- **codeql.yml**: Added Gradle caching for Java/Kotlin CodeQL analysis  
- **java-cd.yml**: Added Gradle caching for CD pipeline builds and deployment testing

### 2. Smart Cache Keys
```yaml
key: ${{ runner.os }}-gradle-${{ hashFiles('java/**/*.gradle*', 'java/**/gradle-wrapper.properties') }}
restore-keys: |
    ${{ runner.os }}-gradle-
```

Cache keys are based on Gradle file hashes to ensure proper cache invalidation when dependencies change, with fallback restore keys for partial cache hits.

### 3. Build Cache Optimization
Added `--build-cache` flag to all `gradlew` commands to enable Gradle's local build cache, reducing compilation time and duplicate work within the same CI run.

## Impact

- **Reduces Maven Central requests**: Dependencies cached across CI runs
- **Faster builds**: ~200MB of Gradle dependencies no longer downloaded every run
- **Rate limit resilience**: Significantly reduces likelihood of HTTP 429 errors
- **Better CI reliability**: Less dependency on external repository availability

## Testing

Validated that caching configuration works correctly:
- Gradle cache directories (`~/.gradle/caches`, `~/.gradle/wrapper`) are properly created
- Cache keys generate correctly based on Gradle file changes
- Build cache is enabled and functional

Fixes #4470.

<!-- START COPILOT CODING AGENT TIPS -->
---

💡 You can make Copilot smarter by setting up custom instructions, customizing its development environment and configuring Model Context Protocol (MCP) servers. Learn more [Copilot coding agent tips](https://gh.io/copilot-coding-agent-tips) in the docs.",Copilot,198982749,Copilot,closed,2025-07-24T10:28:36Z,2025-07-24T12:17:19Z,2025-07-24T12:17:19Z,511141524,https://api.github.com/repos/valkey-io/valkey-glide,https://github.com/valkey-io/valkey-glide/pull/4471,"analysisWe need to classify the pull request as performance or non-performance. The PR is about adding Gradle dependency caching to reduce Maven Central requests, reduce build time, and improve CI reliability. This is a performance improvement: caching reduces build time, reduces network usage. So classification: 'performance'.assistantfinalperformance",Performance
3078172167,17,Improve ECS performance benchmarks,"## Summary
- implement a fast numeric `BitSet`
- update `Entity` and `QueryManager` to reduce query updates
- optimize query checks
- refresh benchmark results in the README

## Testing
- `npm run build`
- `npm test`
- `npm run bench`",OpenAI_Codex,11973041,felixtrz,closed,2025-05-20T20:33:59Z,2025-05-20T22:15:57Z,,720999772,https://api.github.com/repos/elixr-games/elics,https://github.com/elixr-games/elics/pull/17,"analysisWe need to classify as performance or non-performance. The title: ""Improve ECS performance benchmarks"". Body: mentions implementing fast numeric BitSet, update Entity and QueryManager to reduce query updates, optimize query checks, refresh benchmark results. This is clearly performance improvement. So label 'performance'.assistantfinalperformance",Performance
2759847657,9356,feat(ci): add Graphite CI optimizer to build-test workflow,"feat(ci): add Graphite CI optimizer to build-test workflow

This PR adds the Graphite CI optimizer to our build-test workflow to improve CI efficiency by skipping unnecessary jobs. Implementation follows the official Graphite documentation (https://graphite.dev/docs/stacking-and-ci).

Changes:
- Add Graphite CI optimizer job with token configuration
- Update all jobs to depend on optimizer job
- Add skip conditions based on optimizer output
- Maintain existing job dependencies while adding optimizer

Testing:
- [x] Verified YAML syntax is valid
- [x] Confirmed all jobs properly depend on the optimizer
- [x] Maintained existing job dependencies
- [ ] CI checks pending

Note: This change requires the `GRAPHITE_CI_OPTIMIZER_TOKEN` secret to be configured in the repository settings.

Link to Devin run: https://app.devin.ai/sessions/3872f4dc4c3341b899646a90c46c4fe3
",Devin,158243242,devin-ai-integration[bot],closed,2024-12-26T14:41:32Z,2024-12-27T02:52:17Z,,519859998,https://api.github.com/repos/toeverything/AFFiNE,https://github.com/toeverything/AFFiNE/pull/9356,"analysisWe need to classify as performance or non-performance. The PR title: ""feat(ci): add Graphite CI optimizer to build-test workflow"". Body: mentions improving CI efficiency by skipping unnecessary jobs. That is about CI performance, but is it about software performance? The instruction says performance-related PRs may contain keywords like memory, optimization, leak, speed, perf, stuck, lag, fast, respons, slow, latency, performance, latenc, hang, tim, throughput, compile-time-hog, instant, responsive, react, perform, wait, minor, or any other terms referring to how faster and efficiently software runs.

This PR is about CI optimizer, skipping jobs to improve CI efficiency. That is about CI performance, but does it count? The instruction says ""performance-related pull requests may contain keywords such as memory, optimization, leak, speed, perf, stuck, lag, fast, respons, slow, latency, performance, latenc, hang, tim, throughput, compile-time-hog, instant, responsive, react, perform, wait, minor, or any other terms referring to how faster and efficiently software runs."" The PR contains ""optimization"" and ""performance"" in the description. It says ""improve CI efficiency"". That is performance improvement. So classify as 'performance'.

Thus answer: performance.assistantfinalperformance",Performance
3074924091,57,Optimize iPod component Zustand selectors,"## Summary
- reduce Zustand subscriptions in `IpodAppComponent` by batching selectors

## Testing
- `npm run lint` *(fails: numerous pre-existing lint errors)*",OpenAI_Codex,2830514,ryokun6,closed,2025-05-19T20:20:34Z,2025-05-21T21:28:27Z,,923332984,https://api.github.com/repos/ryokun6/ryos,https://github.com/ryokun6/ryos/pull/57,"analysisWe need to classify whether the primary purpose is performance. The title: ""Optimize iPod component Zustand selectors"". Summary: ""reduce Zustand subscriptions in IpodAppComponent by batching selectors"". This is about reducing subscriptions, likely performance improvement. So classification: performance.assistantfinalperformance",Performance
3186318107,3988,Improve group by compilation,"## Summary
- optimize VM group by compile logic to avoid extra index lookups
- update IR golden files for group by tests

## Testing
- `make fmt`
- `make test` *(fails: cc error: returnflag undeclared)*
- `go test -tags=slow ./tests/vm -run TestVM_IR -update`


------
https://chatgpt.com/codex/tasks/task_e_686163d459a8832091f5698d8a0d1d64",OpenAI_Codex,1218621,tamnd,closed,2025-06-29T16:17:31Z,2025-06-29T16:17:47Z,2025-06-29T16:17:47Z,985853139,https://api.github.com/repos/mochilang/mochi,https://github.com/mochilang/mochi/pull/3988,"analysisWe need to classify as performance or non-performance. The PR title: ""Improve group by compilation"". Summary: ""optimize VM group by compile logic to avoid extra index lookups"". That is a performance optimization. So label 'performance'.assistantfinalperformance",Performance
3261752051,12881,Add Python benchmark wrapper,"## Summary
- update Python transpiler to wrap programs without a main function in a benchmark block
- record memory usage via `resource.getrusage`
- update rosetta progress table to use check mark status and show benchmark stats
- regenerate `100-doors-2` Python output with benchmark info

## Testing
- `MOCHI_ROSETTA_INDEX=1 MOCHI_BENCHMARK=true go test -tags=slow -run TestPyTranspiler_Rosetta_Golden/001 -update-rosetta-py -count=1`
- `python3 tests/rosetta/transpiler/Python/100-doors-2.py > tests/rosetta/transpiler/Python/100-doors-2.bench`

------
https://chatgpt.com/codex/tasks/task_e_6882e402dff88320839a16af24da66cd",OpenAI_Codex,1218621,tamnd,closed,2025-07-25T02:14:35Z,2025-07-25T02:14:49Z,2025-07-25T02:14:49Z,985853139,https://api.github.com/repos/mochilang/mochi,https://github.com/mochilang/mochi/pull/12881,"analysisWe need to classify as performance or non-performance. The PR adds a Python benchmark wrapper, records memory usage, updates progress table, regenerates output with benchmark info. This is about benchmarking, measuring performance, memory usage. So it's performance. The classification: 'performance'.assistantfinalperformance",Performance
3234031765,1066,Optimize page table slicing,"## Summary
- optimize loops in page_table
- slice updated sequences and token counts by num_active
- update tests for new PageBatchInfo signature

## Testing
- `pre-commit run --files src/levanter/layers/page_table.py`
- `pytest tests/test_page_table.py -q`

------
https://chatgpt.com/codex/tasks/task_e_6876ec7ca3dc83318ce01950914aa611",OpenAI_Codex,9633,dlwh,closed,2025-07-16T00:16:42Z,2025-07-16T00:16:51Z,2025-07-16T00:16:50Z,496005961,https://api.github.com/repos/stanford-crfm/levanter,https://github.com/stanford-crfm/levanter/pull/1066,"analysisWe need to classify as performance or non-performance. The PR title: ""Optimize page table slicing"". Summary: ""optimize loops in page_table"", ""slice updated sequences and token counts by num_active"", ""update tests for new PageBatchInfo signature"". This is about optimizing loops, slicing, performance. So it's performance. So output 'performance'.assistantfinalperformance",Performance
3112822851,27,Add viewer and adaptive resolution,"## Summary
- add a simple WebRTC `viewer.html`
- document remote viewer and adaptive mode in README
- implement adaptive resolution toggle in `j360.ts`
- expose `toggleAdaptive` in type declarations
- support `--adaptive` option in CLI
- update CLI and encoder tests
- provide test stubs for TypeScript and ffmpeg

## Testing
- `npm test`

------
https://chatgpt.com/codex/tasks/task_e_683e862c544c8328adca501270226361",OpenAI_Codex,843228,imgntn,closed,2025-06-03T07:38:24Z,2025-06-03T07:39:25Z,2025-06-03T07:39:25Z,76519330,https://api.github.com/repos/imgntn/j360,https://github.com/imgntn/j360/pull/27,"analysisWe need to classify whether the primary purpose is performance improvement. The PR adds viewer and adaptive resolution, implements adaptive resolution toggle, support CLI option, update tests. The focus is on adaptive resolution, which is about performance? Adaptive resolution toggling can improve performance by reducing resolution to improve speed. But is the primary purpose performance? The PR adds viewer and adaptive resolution, but the main change is adding adaptive resolution toggle. That is a performance improvement feature. The description: ""implement adaptive resolution toggle in j360.ts"" and ""support --adaptive option in CLI"". Adaptive resolution is about performance. So likely performance. The guidelines: performance-related PR may contain keywords like performance, speed, etc. The title: ""Add viewer and adaptive resolution"". The body: ""implement adaptive resolution toggle"". That is a performance improvement. So classify as 'performance'.assistantfinalperformance",Performance
3169971812,2758,Add CFG inference to VM,"## Summary
- add a new `infer.go` implementing type inference across the bytecode CFG
- rewrite arithmetic/comparison ops based on inferred register types
- run the inference optimisation step after compilation
- update golden IR outputs for optimised opcodes

## Testing
- `go test ./tests/vm`

------
https://chatgpt.com/codex/tasks/task_e_685a04eb49e08320b2c7df3d7966ea88",OpenAI_Codex,1218621,tamnd,closed,2025-06-24T02:03:10Z,2025-06-24T04:08:15Z,,985853139,https://api.github.com/repos/mochilang/mochi,https://github.com/mochilang/mochi/pull/2758,"analysisWe need to classify whether the primary purpose is performance. The PR adds CFG inference to VM, rewrites arithmetic/comparison ops based on inferred register types, runs inference optimization step after compilation, updates golden IR outputs for optimised opcodes. This seems to be about optimization, improving performance. Keywords: optimization, inference, rewrite ops, run inference optimization step. So it's performance. So label 'performance'.assistantfinalperformance",Performance
3187833970,981,feat: add support for plain TXT files,"
# Add TXT file support with line-by-line splitting for fastlane metadata

## Summary

Implements TXT file support in the Lingo.dev CLI loader system to handle fastlane metadata translation workflows. The key innovation is **line-by-line splitting** - instead of treating the entire file as a single translatable unit, each line becomes a separate translatable unit with numeric keys (""1"", ""2"", ""3"", etc.).

This approach solves the chunking problem for large TXT files since the SDK can now chunk at the line level rather than being forced to send massive single strings to the LLM.

**Key Changes:**
- Added `txt` to supported bucket types in formats specification
- Created new TXT loader that splits content by lines into 1-indexed numeric keys
- Integrated TXT loader into the main loader factory with standard composition pattern
- Empty lines are handled automatically by the unlocalizable loader (filtered during pull, restored during push)
- Added comprehensive test suite covering load/save, empty files, and empty line handling

## Review & Testing Checklist for Human

- [ ] **Test with real fastlane metadata files** - Verify line-by-line behavior works correctly with actual metadata content, not just synthetic test cases
- [ ] **Verify empty line handling in practice** - Test files with various empty line patterns to ensure the unlocalizable loader approach works reliably
- [ ] **Confirm chunking solves the original problem** - Test that large TXT files now chunk properly at the line level and don't overwhelm LLM token limits
- [ ] **Check edge cases** - Test files with only empty lines, very large files, mixed content patterns, and single-line files

**Recommended test plan:** Create sample fastlane metadata TXT files with various patterns (normal lines, empty lines, large content) and run through the full translation workflow to verify line structure preservation and chunking behavior.

---

### Diagram

```mermaid
%%{ init : { ""theme"" : ""default"" }}%%
graph TD
    subgraph Legend
        L1[""Major Edit""]:::major-edit
        L2[""Minor Edit""]:::minor-edit  
        L3[""Context/No Edit""]:::context
    end

    spec[""packages/spec/src/formats.ts<br/>+txt bucket type""]:::minor-edit
    indexLoader[""packages/cli/src/cli/loaders/index.ts<br/>+txt case""]:::minor-edit
    txtLoader[""packages/cli/src/cli/loaders/txt.ts<br/>NEW FILE""]:::major-edit
    tests[""packages/cli/src/cli/loaders/index.spec.ts<br/>+txt tests""]:::major-edit
    
    textFileLoader[""createTextFileLoader""]:::context
    syncLoader[""createSyncLoader""]:::context
    unlocalizableLoader[""createUnlocalizableLoader""]:::context
    
    spec --> indexLoader
    indexLoader --> txtLoader
    txtLoader --> textFileLoader
    textFileLoader --> syncLoader
    syncLoader --> unlocalizableLoader
    
    tests -.-> txtLoader
    
    classDef major-edit fill:#90EE90
    classDef minor-edit fill:#87CEEB  
    classDef context fill:#FFFFFF
```

### Notes

- **Empty line handling evolution**: Initially implemented space placeholder workaround, then simplified to rely on unlocalizable loader's automatic empty string filtering/restoration. The current approach is cleaner but less explicit.
- **Loader composition pattern**: Uses the same 4-loader composition as other file types (text-file → txt → sync → unlocalizable), ensuring consistency with existing patterns.
- **1-indexed keys**: Follows SRT loader convention with numeric keys starting from ""1"" rather than ""0"".
- **Session details**: Requested by @mathio, implemented in Devin session https://app.devin.ai/sessions/581a22c71ce44db8adaff265fb5d1c6d
",Devin,158243242,devin-ai-integration[bot],closed,2025-06-30T09:42:27Z,2025-07-01T08:43:01Z,2025-07-01T08:43:01Z,771479895,https://api.github.com/repos/lingodotdev/lingo.dev,https://github.com/lingodotdev/lingo.dev/pull/981,"analysisWe need to classify as performance or non-performance. The PR adds support for plain TXT files, with line-by-line splitting to solve chunking problem for large TXT files. The key innovation is line-by-line splitting to avoid sending massive single strings to LLM. This is about chunking, which is about performance (avoiding large token usage). The description mentions ""chunking solves the original problem"" and ""large TXT files now chunk properly at the line level and don't overwhelm LLM token limits"". This is a performance improvement. So classification: performance.assistantfinalperformance",Performance
